Degree,Frequency
1,1035632
2,551317
3,390662
4,294914
5,239528
6,197839
7,168238
8,146202
9,129048
10,115788
11,103699
12,94141
13,86490
14,78778
15,73686
16,68131
17,62686
18,58466
19,54979
20,51216
21,48688
22,45446
23,42861
24,40279
25,38136
26,36200
27,34119
28,32417
29,30536
30,29271
31,28038
32,26418
33,25232
34,24206
35,22870
36,21993
37,21038
38,20336
39,19331
40,18518
41,17537
42,16925
43,16323
44,15404
45,14700
46,14151
47,13918
48,13475
49,12771
50,12534
51,11827
52,11278
53,11042
54,10530
55,10259
56,9970
57,9627
58,9264
59,8925
60,8625
61,8383
62,8050
63,7619
64,7376
65,7313
66,6841
67,6877
68,6546
69,6199
70,6181
71,5866
72,5701
73,5451
74,5478
75,5321
76,5000
77,4877
78,4848
79,4698
80,4562
81,4460
82,4363
83,4169
84,4212
85,4061
86,3928
87,3869
88,3750
89,3546
90,3506
91,3413
92,3295
93,3293
94,3068
95,2922
96,2978
97,2880
98,2800
99,2665
100,2528
101,2553
102,2574
103,2561
104,2450
105,2439
106,2299
107,2258
108,2172
109,2123
110,2118
111,2001
112,2021
113,2041
114,1893
115,2038
116,1849
117,1757
118,1825
119,1684
120,1747
121,1580
122,1565
123,1560
124,1562
125,1522
126,1483
127,1528
128,1438
129,1423
130,1333
131,1376
132,1252
133,1235
134,1153
135,1220
136,1170
137,1122
138,1107
139,1113
140,1096
141,1074
142,1112
143,1077
144,1013
145,1009
146,974
147,975
148,917
149,919
150,924
151,872
152,842
153,840
154,871
155,836
156,829
157,838
158,814
159,761
160,789
161,729
162,779
163,728
164,683
165,708
166,663
167,693
168,710
169,655
170,609
171,593
172,619
173,627
174,625
175,636
176,596
177,589
178,555
179,516
180,544
181,554
182,548
183,558
184,483
185,479
186,488
187,532
188,533
189,512
190,507
191,467
192,494
193,440
194,455
195,467
196,417
197,403
198,457
199,415
200,435
201,403
202,404
203,412
204,384
205,396
206,399
207,378
208,402
209,362
210,352
211,366
212,324
213,361
214,348
215,341
216,349
217,361
218,330
219,350
220,350
221,354
222,367
223,336
224,294
225,299
226,356
227,310
228,300
229,334
230,308
231,285
232,272
233,280
234,267
235,290
236,340
237,261
238,261
239,250
240,291
241,278
242,263
243,271
244,255
245,233
246,243
247,238
248,243
249,245
250,247
251,215
252,231
253,221
254,241
255,211
256,243
257,242
258,241
259,208
260,203
261,203
262,167
263,216
264,187
265,185
266,211
267,165
268,223
269,162
270,187
271,185
272,167
273,167
274,174
275,171
276,168
277,161
278,164
279,167
280,160
281,136
282,144
283,143
284,162
285,164
286,169
287,139
288,138
289,150
290,128
291,163
292,181
293,146
294,149
295,134
296,134
297,154
298,169
299,161
300,111
301,151
302,126
303,140
304,115
305,129
306,140
307,126
308,111
309,119
310,120
311,126
312,107
313,115
314,108
315,98
316,124
317,94
318,92
319,119
320,125
321,113
322,96
323,120
324,110
325,88
326,107
327,99
328,94
329,96
330,109
331,97
332,96
333,87
334,86
335,92
336,71
337,101
338,91
339,83
340,91
341,91
342,82
343,87
344,85
345,69
346,79
347,70
348,72
349,95
350,78
351,67
352,76
353,70
354,77
355,83
356,62
357,85
358,78
359,86
360,74
361,74
362,77
363,84
364,89
365,70
366,78
367,76
368,73
369,53
370,69
371,78
372,73
373,78
374,67
375,75
376,82
377,55
378,74
379,67
380,76
381,60
382,77
383,82
384,68
385,61
386,80
387,60
388,71
389,59
390,76
391,58
