Degree,Frequency
1,6833
2,6407
3,5733
4,5100
5,4618
6,4078
7,3737
8,3358
9,3176
10,2784
11,2494
12,2360
13,2164
14,2069
15,1939
16,1821
17,1665
18,1533
19,1452
20,1388
21,1272
22,1234
23,1097
24,1069
25,1031
26,959
27,916
28,872
29,843
30,762
31,723
32,751
33,709
34,635
35,626
36,637
37,569
38,568
39,551
40,493
41,483
42,490
43,474
44,417
45,421
46,399
47,381
48,397
49,374
50,361
51,351
52,332
53,370
54,310
55,339
56,299
57,307
58,258
59,270
60,240
61,249
62,253
63,227
64,227
65,235
66,227
67,197
68,206
69,194
70,201
71,212
72,195
73,165
74,188
75,176
76,168
77,177
78,168
79,169
80,146
81,148
82,151
83,144
84,125
85,134
86,151
87,132
88,148
89,141
90,129
91,114
92,97
93,110
94,116
95,118
96,111
97,95
98,106
99,130
100,107
101,104
102,100
103,105
104,93
105,95
106,83
107,91
108,101
109,106
110,82
111,83
112,86
113,89
114,74
115,93
116,64
117,78
118,80
119,65
120,77
121,72
122,70
123,72
124,68
125,65
126,56
127,52
128,53
129,71
130,53
131,62
132,48
133,57
134,63
135,63
136,59
137,62
138,65
139,50
140,54
141,70
142,52
143,53
144,54
145,62
146,49
147,48
148,38
149,45
150,46
151,47
152,47
153,59
154,39
155,63
156,42
157,52
158,53
159,42
160,53
161,40
162,31
163,43
164,42
165,44
166,46
167,40
168,32
169,36
170,45
171,34
172,46
173,33
174,35
175,44
176,41
177,36
178,33
179,43
180,42
181,29
182,28
183,36
184,29
185,31
186,25
187,38
188,25
189,31
190,31
191,36
192,30
193,31
194,24
195,39
196,29
197,23
198,35
199,25
200,26
201,34
202,20
203,25
204,27
205,37
206,29
207,24
208,26
209,24
210,25
211,13
212,21
213,21
214,29
215,17
216,23
217,23
218,21
219,27
220,22
221,27
222,16
223,20
224,25
225,23
226,20
227,9
228,20
229,16
230,15
231,15
232,10
233,15
234,19
235,19
236,18
237,13
238,15
239,17
240,28
241,23
242,14
243,12
244,18
245,16
246,15
247,18
248,12
249,22
250,17
251,18
252,11
253,14
254,22
255,20
256,13
257,15
258,12
259,14
260,13
261,16
262,16
263,17
264,9
265,11
266,11
267,16
268,15
269,16
270,13
271,16
272,9
273,12
274,8
275,14
276,15
277,17
278,12
279,16
280,12
281,18
282,12
283,17
284,8
285,21
286,14
287,11
288,12
289,15
290,9
291,17
292,11
293,10
294,5
295,15
296,12
297,10
298,7
299,13
300,9
301,7
302,10
303,8
304,12
305,13
306,19
307,12
308,7
309,8
310,10
311,9
312,10
313,7
314,9
315,8
316,11
317,6
318,13
319,15
320,11
321,9
322,14
323,12
324,9
325,12
326,6
327,13
328,7
329,8
330,7
331,6
332,12
333,6
334,10
335,8
336,9
337,11
338,5
339,7
340,11
341,9
342,10
343,11
344,5
345,5
346,7
347,9
348,8
349,3
350,4
351,7
352,4
353,11
354,5
355,5
356,8
357,5
358,5
359,6
360,7
361,5
362,9
363,9
364,5
365,6
366,3
367,9
368,5
369,5
370,4
371,8
372,13
373,6
374,5
375,7
376,8
377,6
378,9
379,6
380,5
381,4
382,6
383,7
384,4
385,5
386,4
387,5
388,4
389,9
390,5
391,4
392,3
393,5
394,7
395,5
396,7
397,6
398,7
399,5
400,4
401,4
402,5
403,2
404,3
405,7
406,5
407,4
408,2
409,6
410,4
411,3
412,9
413,7
414,5
415,9
416,3
417,2
419,9
420,8
421,6
422,5
423,6
424,7
425,5
426,5
427,9
428,4
429,2
430,5
431,1
432,5
433,11
434,8
435,9
436,1
437,4
438,5
439,4
440,7
441,4
442,7
443,3
444,3
445,2
446,2
447,3
448,7
449,4
450,2
451,5
452,4
453,5
454,2
455,7
456,3
457,5
458,2
459,6
460,6
461,6
462,4
463,5
464,5
465,6
466,2
467,1
468,2
469,1
470,2
471,3
472,5
473,3
474,5
475,1
476,2
477,2
478,4
479,3
480,4
481,5
482,7
483,4
484,4
485,4
486,6
487,5
488,4
489,3
490,3
491,4
492,3
493,4
494,6
495,1
496,4
497,5
498,2
499,3
500,3
501,1
502,2
503,2
504,4
505,2
507,3
508,4
509,4
510,2
511,2
512,5
513,2
514,2
515,2
516,4
517,2
518,4
519,3
520,3
521,3
522,3
523,5
524,5
525,2
526,3
527,4
528,4
529,1
530,1
531,4
532,5
533,3
534,1
535,4
536,5
537,5
538,1
539,3
540,1
541,2
543,3
544,7
545,1
546,1
547,1
548,2
549,1
550,4
551,3
552,3
553,2
554,3
555,3
556,4
557,3
558,2
559,1
560,1
561,3
562,4
563,2
564,5
565,1
566,1
567,3
568,3
569,3
570,3
571,2
572,7
573,1
574,5
576,1
577,3
578,3
579,2
581,1
582,2
583,1
584,2
585,2
586,3
587,3
588,1
589,6
590,1
591,3
592,2
593,3
594,2
595,4
596,4
597,4
598,3
599,6
600,1
601,2
603,3
604,1
605,1
606,2
607,5
608,1
609,2
610,2
611,5
612,3
613,1
614,4
615,3
616,2
618,1
619,2
620,2
621,3
622,3
623,2
624,1
625,2
627,1
628,2
629,1
630,3
631,2
633,2
634,4
635,1
636,1
637,2
638,1
639,2
640,1
641,1
642,3
643,3
644,3
645,6
646,2
647,1
648,2
649,2
650,2
651,1
652,4
653,1
654,2
655,1
656,3
657,1
658,3
660,2
662,1
663,1
664,1
665,2
666,1
667,2
668,1
669,2
670,2
671,6
672,3
673,1
675,4
676,1
678,2
679,2
680,1
681,7
682,4
683,1
688,2
689,1
690,1
692,1
694,2
695,5
696,1
699,4
701,3
702,2
703,1
704,2
706,2
707,1
709,1
710,1
711,1
712,1
713,1
714,1
715,2
716,3
717,3
718,1
719,2
721,3
722,4
723,2
724,2
725,2
726,1
728,2
729,2
730,3
733,1
734,2
736,2
737,1
738,2
739,2
742,2
743,3
744,1
745,2
746,1
750,2
752,2
753,1
754,1
756,3
757,2
758,4
760,1
761,2
762,4
763,5
765,1
767,2
768,1
769,1
770,1
771,3
772,3
775,3
776,2
777,2
778,2
779,1
780,2
781,2
783,2
784,3
786,3
787,5
788,1
790,3
791,2
792,1
793,1
795,1
796,2
797,1
798,1
799,1
801,1
802,1
804,2
805,1
806,1
807,1
808,2
809,1
810,1
811,3
812,3
813,2
815,1
816,4
817,2
820,1
821,2
822,1
824,1
825,2
827,1
829,1
831,2
