Degree,Frequency
1,21157
2,9374
3,5360
4,3695
5,2624
6,2052
7,1639
8,1304
9,1090
10,939
11,750
12,697
13,634
14,523
15,469
16,381
17,328
18,335
19,291
20,281
21,228
22,247
23,187
24,203
25,179
26,172
27,157
28,141
29,121
30,126
31,110
32,108
33,89
34,89
35,82
36,84
37,82
38,70
39,60
40,60
41,61
42,58
43,54
44,56
45,56
46,47
47,43
48,45
49,36
50,35
51,24
52,32
53,36
54,25
55,32
56,28
57,29
58,31
59,29
60,27
61,23
62,14
63,28
64,16
65,29
66,27
67,18
68,17
69,24
70,12
71,19
72,14
73,15
74,10
75,15
76,15
77,20
78,15
79,9
80,8
81,12
82,15
83,9
84,11
85,7
86,3
87,12
88,7
89,10
90,9
91,11
92,7
93,7
94,8
95,10
96,9
97,9
98,10
99,4
100,5
101,8
102,2
103,6
104,1
105,6
106,7
107,8
108,7
109,9
110,1
111,5
112,9
113,7
114,4
115,5
116,2
117,9
118,8
119,8
120,3
121,11
122,1
123,3
124,7
125,7
126,4
127,3
128,5
129,2
130,3
131,2
132,7
134,2
135,3
137,5
138,3
139,6
141,3
142,3
143,1
144,4
145,1
146,4
147,7
148,2
149,5
150,3
151,2
152,1
153,4
155,2
156,1
157,1
158,2
159,1
160,4
161,3
162,6
163,4
164,1
165,1
166,3
167,2
168,5
169,1
170,2
171,2
172,6
173,5
174,1
175,3
176,2
177,1
178,2
179,1
180,1
181,1
183,1
184,2
185,1
186,1
187,1
188,2
189,1
190,5
191,1
192,2
193,1
194,1
198,2
201,2
202,3
203,1
204,1
205,1
206,2
207,1
209,1
210,4
211,1
212,1
213,2
214,2
215,1
218,2
221,1
225,2
226,1
227,1
228,3
230,2
241,1
242,1
248,1
253,2
254,1
256,1
257,1
259,1
264,1
266,1
267,2
270,3
271,1
272,1
274,1
282,1
289,1
292,1
296,1
299,1
301,1
306,1
310,1
311,1
321,1
325,1
326,1
327,1
332,1
333,1
334,1
337,1
343,1
354,1
379,1
386,1
404,1
448,1
453,1
467,1
475,1
550,1
569,1
732,1
779,1
833,1
838,1
854,1
1055,1
1134,1
