Degree,Frequency
1,49452
2,30459
3,20612
4,14925
5,11256
6,8691
7,7027
8,5727
9,4849
10,4016
11,3385
12,2929
13,2657
14,2250
15,2090
16,1761
17,1488
18,1390
19,1357
20,1234
21,1090
22,987
23,935
24,841
25,748
26,680
27,627
28,629
29,604
30,487
31,492
32,473
33,401
34,399
35,367
36,377
37,337
38,310
39,300
40,274
41,275
42,254
43,239
44,246
45,230
46,199
47,193
48,195
49,172
50,168
51,190
52,167
53,141
54,147
55,123
56,134
57,128
58,129
59,127
60,113
61,102
62,101
63,106
64,99
65,80
66,87
67,79
68,67
69,91
70,84
71,71
72,67
73,76
74,58
75,67
76,65
77,56
78,48
79,64
80,48
81,38
82,52
83,41
84,49
85,77
86,55
87,41
88,43
89,47
90,48
91,45
92,31
93,29
94,30
95,35
96,22
97,43
98,41
99,38
100,33
101,33
102,31
103,25
104,30
105,33
106,28
107,19
108,16
109,26
110,19
111,30
112,30
113,26
114,20
115,23
116,30
117,17
118,14
119,18
120,19
121,19
122,15
123,20
124,24
125,17
126,13
127,14
128,17
129,18
130,23
131,13
132,15
133,21
134,16
135,15
136,18
137,12
138,11
139,11
140,11
141,12
142,12
143,15
144,11
145,13
146,13
147,10
148,10
149,8
150,12
151,12
152,8
153,5
154,9
155,13
156,6
157,12
158,9
159,10
160,2
161,9
162,11
163,8
164,7
165,11
166,7
167,3
168,7
169,5
170,5
171,6
172,11
173,9
174,10
175,14
176,7
177,6
178,4
179,3
180,7
181,5
182,4
183,4
184,3
185,6
186,3
187,7
188,9
189,4
190,11
191,8
192,6
193,6
194,4
195,4
196,6
197,1
198,3
199,4
200,5
201,8
202,1
203,4
204,3
205,3
206,7
207,2
208,1
209,4
210,5
211,1
212,7
213,3
214,4
215,4
216,4
217,3
218,3
219,4
220,5
221,4
222,2
223,8
224,5
225,1
226,2
227,1
228,3
229,3
230,3
231,3
232,4
233,3
234,1
235,3
236,3
237,2
238,2
240,2
241,1
242,4
243,3
245,4
247,1
248,2
249,7
250,1
251,4
252,2
253,2
254,3
256,6
257,2
258,3
259,5
260,5
261,3
262,2
264,4
266,2
267,2
269,4
270,2
271,3
273,1
274,4
275,1
278,2
279,3
281,4
282,2
284,2
286,2
287,1
288,1
289,2
290,2
292,2
293,1
295,1
297,2
298,1
299,2
300,1
301,2
302,3
304,1
306,2
308,1
309,1
310,1
311,2
312,3
313,1
314,2
315,1
317,2
318,2
320,2
321,1
322,1
324,1
325,1
326,1
327,3
328,1
329,2
331,1
332,2
333,1
334,2
335,1
336,3
337,1
338,1
339,2
340,1
341,1
344,1
346,3
348,1
349,3
350,2
352,3
355,1
356,1
358,2
359,1
361,2
363,1
364,1
366,1
369,2
370,1
373,1
374,1
375,2
376,2
383,1
384,1
385,1
386,1
387,1
388,1
393,1
395,3
396,1
397,1
398,2
399,2
400,1
401,1
402,3
407,1
409,1
412,1
413,2
414,1
415,1
416,1
419,1
425,2
428,1
430,1
431,1
436,1
437,2
440,2
448,2
449,1
451,2
452,1
454,1
456,1
459,1
461,1
465,1
467,2
468,1
472,1
475,1
487,1
489,2
493,1
501,1
503,1
506,1
507,2
508,1
510,1
524,1
533,1
534,1
543,1
544,1
545,2
552,1
556,1
559,1
562,1
563,1
567,2
573,1
600,3
611,2
615,1
633,1
635,1
645,1
646,2
652,1
658,1
665,1
691,1
695,1
699,1
705,1
711,1
719,1
734,1
739,1
744,1
752,1
757,1
761,1
763,2
785,1
793,1
802,1
803,1
807,1
817,1
825,1
826,1
838,1
854,1
855,1
858,1
880,1
895,1
897,1
913,1
941,1
942,1
968,1
981,1
990,1
1033,1
1066,1
1068,1
1083,1
1165,1
1184,1
1201,1
1261,1
1344,1
1373,1
1425,1
1458,1
1499,1
1513,1
1539,1
1548,1
1711,1
1795,1
1837,1
1953,1
2089,1
2916,1
3800,1
3880,1
3986,1
5420,1
10185,1
14730,1
