Degree,Frequency
1,27113
2,23606
3,20512
4,19102
5,20767
6,18042
7,16566
8,15645
9,14999
10,14082
11,12994
12,12163
13,11056
14,10310
15,9825
16,9087
17,8670
18,7917
19,7371
20,6842
21,6370
22,5933
23,5380
24,5219
25,4786
26,4528
27,4146
28,3895
29,3763
30,3564
31,3253
32,3061
33,3053
34,2849
35,2623
36,2477
37,2347
38,2265
39,2219
40,2027
41,1941
42,1826
43,1797
44,1672
45,1625
46,1564
47,1478
48,1425
49,1352
50,1321
51,1203
52,1117
53,1083
54,1114
55,1026
56,973
57,947
58,844
59,829
60,860
61,833
62,782
63,740
64,748
65,667
66,671
67,650
68,632
69,592
70,584
71,540
72,525
73,529
74,506
75,500
76,482
77,488
78,421
79,446
80,419
81,458
82,387
83,360
84,343
85,374
86,331
87,349
88,313
89,344
90,323
91,305
92,304
93,276
94,267
95,277
96,270
97,271
98,236
99,238
100,244
101,233
102,261
103,241
104,205
105,208
106,201
107,201
108,199
109,194
110,198
111,202
112,195
113,189
114,156
115,198
116,182
117,190
118,145
119,190
120,183
121,147
122,184
123,179
124,149
125,125
126,164
127,144
128,138
129,156
130,138
131,128
132,147
133,148
134,148
135,132
136,121
137,107
138,129
139,116
140,106
141,114
142,115
143,109
144,116
145,112
146,110
147,91
148,106
149,118
150,89
151,88
152,89
153,96
154,96
155,89
156,80
157,90
158,90
159,96
160,87
161,77
162,74
163,90
164,100
165,100
166,113
167,80
168,82
169,84
170,83
171,75
172,91
173,101
174,78
175,69
176,68
177,65
178,71
179,82
180,68
181,54
182,62
183,79
184,53
185,62
186,77
187,66
188,84
189,58
190,65
191,64
192,67
193,55
194,66
195,66
196,67
197,53
198,61
199,51
200,44
201,54
202,56
203,47
204,50
205,46
206,44
207,41
208,50
209,55
210,49
211,39
212,36
213,43
214,29
215,34
216,26
217,66
218,41
219,38
220,43
221,45
222,49
223,50
224,48
225,38
226,46
227,48
228,31
229,31
230,35
231,45
232,39
233,45
234,48
235,24
236,52
237,45
238,40
239,43
240,47
241,52
242,36
243,36
244,42
245,35
246,27
247,48
248,31
249,27
250,35
251,34
252,35
253,20
254,26
255,40
256,29
257,32
258,27
259,29
260,38
261,36
262,27
263,32
264,36
265,26
266,28
267,23
268,35
269,31
270,28
271,29
272,33
273,34
274,31
275,28
276,29
277,18
278,20
279,35
280,28
281,23
282,25
283,26
284,29
285,26
286,28
287,27
288,20
289,30
290,20
291,30
292,27
293,23
294,31
295,25
296,19
297,31
298,26
299,27
300,24
301,27
302,16
303,19
304,19
305,25
306,27
307,21
308,22
309,24
310,22
311,19
312,17
313,17
314,24
315,17
316,17
317,16
318,16
319,28
320,27
321,31
322,21
323,24
324,18
