log_Re,Normalized flux
4.21,0.4506
4.279,0.4349
4.465,0.3808
4.507,0.3636
4.549,0.3579
4.597,0.3562
4.644,0.3434
4.778,0.3257
4.82,0.3282
4.916,0.3222
4.987,0.3197
5.057,0.321
5.1,0.3228
5.173,0.3197
5.21,0.3276
5.283,0.3322
5.366,0.3416
5.494,0.3504
5.58,0.3562
5.623,0.3602
5.702,0.3636
4.708,0.3371
5.305,0.3328
5.544,0.3562
5.787,0.3661
4.748,0.3335
4.869,0.3228
4.954,0.321
5.134,0.321
5.255,0.3294
5.415,0.3434
5.58,0.3551
5.748,0.3608
5.845,0.3666
5.881,0.3688
5.924,0.3727
5.967,0.3705
5.991,0.3716
