R/Ropt,V(R)
0.060000000000000005,0.27399999999999997
0.12000000000000001,0.473
0.18000000000000002,0.6060000000000001
0.24000000000000002,0.701
0.30000000000000004,0.774
0.36000000000000004,0.8270000000000001
0.42,0.866
0.48000000000000004,0.893
0.54,0.914
0.6000000000000001,0.937
0.66,0.955
0.7200000000000001,0.965
0.7799999999999999,0.976
0.84,0.9860000000000001
0.8999999999999999,0.993
0.9600000000000001,0.999
1.02,1.001
1.08,1.001
1.14,1.001
1.2000000000000002,0.999
1.26,1.002
1.32,0.999
1.38,1.01
1.4400000000000002,1.007
1.5,1.008
1.5599999999999998,1.017
1.62,1.0150000000000001
1.68,1.02
1.78,1.02
1.8800000000000001,1.055
