Degree,Log_frequency
1,13.308907672542489
2,12.113063316736907
3,11.438848261573913
4,10.93089022884744
5,10.511430812581505
6,10.171566227844083
7,9.869930769007285
8,9.640302951684735
9,9.394327208089198
10,9.169518377455928
11,8.97322466309509
12,8.798605650854423
13,8.614864218589684
14,8.47428569040496
15,8.336869637284956
16,8.175829008714596
17,8.054204897064407
18,7.917900586327916
19,7.824845691026856
20,7.734121303328305
21,7.638198244285779
22,7.54274354536855
23,7.438383530044307
24,7.349230824613334
25,7.317876198626495
26,7.1631723908466425
27,7.135687347028144
28,6.981934677156389
29,6.977281341630747
30,6.860663671448286
31,6.792344427470809
32,6.706862336602747
33,6.71295620067707
34,6.6280413761795325
35,6.602587892189336
36,6.461468176353717
37,6.461468176353717
38,6.282266746896006
39,6.368187186350492
40,6.156978985585555
41,6.282266746896006
42,6.159095388491933
43,6.107022887742254
44,6.066108090103747
45,5.937536205082426
46,5.981414211254481
47,5.932245187448011
48,5.8971538676367405
49,5.793013608384143
50,5.771441123130016
51,5.834810737062605
52,5.6594822157596205
53,5.641907070938114
54,5.583496308781699
55,5.497168225293201
56,5.598421958998374
57,5.680172609017067
58,5.521460917862246
59,5.493061443340548
60,5.44673737166631
61,5.549076084895219
62,5.402677381872279
63,5.247024072160486
64,5.298317366548036
65,5.313205979041787
66,5.236441962829949
67,5.093750200806762
68,5.123963979403259
69,5.036952602413629
70,5.123963979403259
71,5.0238805208462765
72,5.0238805208462765
73,5.081404364984463
74,4.955827057601261
75,4.948759890378168
76,4.820281565605037
77,4.820281565605037
78,4.787491742782046
79,4.997212273764115
80,4.795790545596741
81,4.762173934797756
82,4.828313737302301
83,4.820281565605037
84,4.634728988229636
85,4.532599493153255
86,4.634728988229636
87,4.532599493153255
88,4.624972813284271
89,4.382026634673881
90,4.430816798843313
91,4.189654742026425
92,4.6913478822291435
93,4.343805421853684
94,4.634728988229636
95,4.304065093204169
96,4.442651256490317
97,4.356708826689592
98,4.454347296253507
99,4.442651256490317
100,4.634728988229636
101,4.430816798843313
102,4.0943445622221
103,4.23410650459726
104,4.276666119016055
105,4.2626798770413155
106,4.1588830833596715
107,4.04305126783455
108,4.0943445622221
109,4.0943445622221
110,4.025351690735149
111,3.9702919135521215
112,3.912023005428146
113,3.737669618283368
114,3.9702919135521215
115,4.007333185232471
116,4.025351690735149
117,3.988984046564274
118,4.204692619390966
119,3.7612001156935624
120,4.060443010546419
121,3.737669618283368
122,3.6888794541139363
123,3.6635616461296463
124,4.0943445622221
125,3.58351893845611
126,3.5553480614894135
127,3.4011973816621555
128,3.5553480614894135
129,3.8712010109078907
130,3.7612001156935624
131,3.737669618283368
132,3.6375861597263857
133,3.4339872044851463
134,3.6375861597263857
135,3.6375861597263857
136,3.4657359027997265
137,3.1354942159291497
138,3.4965075614664802
139,3.4965075614664802
140,3.4339872044851463
141,3.737669618283368
142,3.526360524616161
143,3.4011973816621555
144,3.58351893845611
145,3.784189633918261
146,3.6109179126442243
147,3.295836866004329
148,3.4339872044851463
149,3.4965075614664802
150,3.4339872044851463
151,3.4011973816621555
152,3.332204510175204
153,3.1354942159291497
154,3.295836866004329
155,3.1780538303479453
156,3.1780538303479453
157,2.8903717578961645
158,3.2188758248682006
159,3.4339872044851463
160,3.4011973816621555
161,3.1354942159291497
162,3.3672958299864737
163,3.044522437723423
164,3.2188758248682006
165,3.044522437723423
166,3.2580965380214817
167,3.2188758248682006
168,3.2188758248682006
169,3.3672958299864737
170,2.995732273553991
171,3.2580965380214817
172,3.4011973816621555
173,2.70805020110221
174,2.6390573296152584
175,2.9444389791664403
176,3.4339872044851463
177,3.4339872044851463
178,2.9444389791664403
179,2.995732273553991
180,2.833213344056216
181,2.995732273553991
182,2.9444389791664403
183,3.0910424533583156
184,3.1354942159291497
185,2.5649493574615367
186,3.044522437723423
187,3.044522437723423
188,2.9444389791664403
189,2.995732273553991
190,3.044522437723423
191,2.772588722239781
192,2.70805020110221
193,2.9444389791664403
194,3.0910424533583156
195,2.5649493574615367
196,2.995732273553991
197,2.995732273553991
198,2.4849066497880004
199,2.5649493574615367
200,2.5649493574615367
201,2.3978952727983707
202,2.9444389791664403
203,2.833213344056216
204,2.3978952727983707
205,2.4849066497880004
206,2.5649493574615367
207,3.044522437723423
208,2.8903717578961645
209,2.833213344056216
210,2.197224577336219
211,3.044522437723423
212,2.772588722239781
213,2.4849066497880004
214,2.3978952727983707
215,2.6390573296152584
216,2.4849066497880004
217,2.5649493574615367
218,2.833213344056216
219,2.3978952727983707
220,2.995732273553991
221,2.995732273553991
222,2.772588722239781
223,2.772588722239781
224,2.5649493574615367
225,2.4849066497880004
226,2.3025850929940455
227,1.9459101490553132
228,2.5649493574615367
229,2.3025850929940455
230,2.9444389791664403
231,2.3025850929940455
232,2.833213344056216
233,1.791759469228055
234,2.0794415416798357
235,2.4849066497880004
236,1.9459101490553132
237,2.3978952727983707
238,2.3978952727983707
239,2.3978952727983707
240,2.3025850929940455
241,2.70805020110221
242,2.197224577336219
243,2.5649493574615367
244,1.791759469228055
245,2.0794415416798357
246,2.3025850929940455
247,2.5649493574615367
248,1.6094379124341003
249,1.3862943611198906
250,2.197224577336219
251,2.5649493574615367
252,2.3978952727983707
253,1.0986122886681096
254,2.3978952727983707
255,1.6094379124341003
256,2.3978952727983707
257,2.70805020110221
258,2.70805020110221
259,2.197224577336219
260,1.3862943611198906
261,2.4849066497880004
262,1.6094379124341003
263,2.70805020110221
264,2.6390573296152584
265,2.3025850929940455
266,2.4849066497880004
267,2.3025850929940455
268,2.3978952727983707
269,1.3862943611198906
270,2.4849066497880004
271,2.3025850929940455
272,1.791759469228055
273,2.3025850929940455
274,2.197224577336219
275,2.0794415416798357
276,2.5649493574615367
277,1.791759469228055
278,1.3862943611198906
279,2.4849066497880004
280,1.9459101490553132
281,1.6094379124341003
282,1.9459101490553132
283,1.791759469228055
284,1.3862943611198906
285,2.0794415416798357
286,1.9459101490553132
287,1.791759469228055
288,1.3862943611198906
289,1.0986122886681096
290,2.3978952727983707
291,1.791759469228055
292,2.3025850929940455
293,1.791759469228055
294,1.791759469228055
295,2.197224577336219
296,2.197224577336219
297,2.3025850929940455
298,2.3978952727983707
299,2.3978952727983707
300,1.6094379124341003
301,1.3862943611198906
302,1.6094379124341003
303,1.6094379124341003
304,0.6931471805599453
305,1.791759469228055
306,1.791759469228055
307,2.197224577336219
308,1.3862943611198906
309,1.9459101490553132
310,1.791759469228055
311,2.0794415416798357
312,2.197224577336219
313,1.791759469228055
314,1.9459101490553132
315,1.0986122886681096
316,2.197224577336219
317,0.6931471805599453
318,1.9459101490553132
319,1.791759469228055
320,2.197224577336219
321,1.6094379124341003
322,0.6931471805599453
323,1.0986122886681096
324,1.791759469228055
325,1.0986122886681096
326,1.0986122886681096
327,2.0794415416798357
328,1.3862943611198906
329,1.0986122886681096
330,1.6094379124341003
331,0.6931471805599453
332,2.0794415416798357
333,1.6094379124341003
334,1.3862943611198906
335,1.791759469228055
336,1.3862943611198906
337,1.9459101490553132
338,1.3862943611198906
339,1.3862943611198906
340,1.9459101490553132
341,1.3862943611198906
342,1.3862943611198906
344,1.791759469228055
345,1.6094379124341003
346,0.6931471805599453
347,1.9459101490553132
348,0.6931471805599453
349,0.6931471805599453
350,1.6094379124341003
351,1.3862943611198906
352,1.9459101490553132
353,1.9459101490553132
354,0.0
355,1.6094379124341003
356,1.3862943611198906
357,0.6931471805599453
358,1.0986122886681096
359,1.0986122886681096
360,1.791759469228055
361,1.3862943611198906
362,1.6094379124341003
363,0.6931471805599453
364,0.6931471805599453
365,1.0986122886681096
366,1.3862943611198906
367,0.6931471805599453
368,1.6094379124341003
369,1.6094379124341003
370,0.6931471805599453
371,1.791759469228055
372,1.3862943611198906
373,1.3862943611198906
374,1.6094379124341003
375,1.6094379124341003
376,1.3862943611198906
377,1.0986122886681096
378,1.0986122886681096
379,1.3862943611198906
380,1.0986122886681096
381,1.791759469228055
382,0.6931471805599453
383,1.0986122886681096
384,1.0986122886681096
385,1.0986122886681096
386,0.0
387,0.6931471805599453
388,1.6094379124341003
389,0.0
390,1.6094379124341003
391,0.0
392,1.0986122886681096
393,1.6094379124341003
394,0.0
395,1.0986122886681096
